,name,figi,ticker,class_code,isin,currency,lot,cap
282,Россети Московский регион,BBG004S687G6,MSRS,TQBR,RU000A0ET7Y7,rub,1000,62.44
284,Приморье Банк,BBG001P1VKH0,PRMB,TQBR,RU000A0DPNQ5,rub,1,8.25
285,"Аптечная сеть 36,6",BBG000K3STR7,APTK,TQBR,RU0008081765,rub,10,105.24
288,Сургутнефтегаз,BBG0047315D0,SNGS,TQBR,RU0008926258,rub,100,1427.92
290,Мечел - Привилегированные акции,BBG004S68FR6,MTLRP,TQBR,RU000A0JPV70,rub,10,166.05
291,QIWI,BBG005D1WCQ1,QIWI,TQBR,US74735M1080,rub,1,37.63
293,Юнипро,BBG004S686W0,UPRO,TQBR,RU000A0JNGA5,rub,1000,128.93
294,Астраханская энергосбытовая компания,BBG000FJ8645,ASSB,TQBR,RU000A0D8MM8,rub,1000,02.01
296,НОВАТЭК,BBG00475KKY8,NVTK,TQBR,RU000A0DKVS5,rub,1,4645.55
298,Novabev Group,BBG000TY1CD1,BELU,TQBR,RU000A0HL5M1,rub,1,84.02
299,Ставропольэнергосбыт,BBG000VDT0D0,STSB,TQBR,RU000A0ET1W4,rub,1000,2.31
300,Левенгук,BBG003NZBX32,LVHK,TQBR,RU000A0JT7Y2,rub,100,2.00
301,Наука-Связь,BBG002BCQK67,NSVZ,TQBR,RU000A0JQLB6,rub,10,7.61
302,Нижнекамскшина,BBG002B9P9K4,NKSH,TQBR,RU0009100515,rub,100,4.97
303,Соликамский магниевый завод,BBG000FJXMJ6,MGNZ,TQBR,RU0009100911,rub,1,2.96
304,Группа Черкизово,BBG000RTHVK7,GCHE,TQBR,RU000A0JL4R1,rub,1,166.80
305,Лензолото - привилегированные акции,BBG000SR0YS4,LNZLP,TQBR,RU000A0JP1P7,rub,1,18.94
306,TCS Group,BBG00QPYJ5H0,TCSG,TQBR,TCS7238U2033,rub,1,605.97
307,Тамбовская энергосбытовая компания - привилегированные акции,BBG000MD2WC0,TASBP,TQBR,RU000A0D8NH6,rub,10000,2.98
308,Варьеганнефтегаз,BBG002B9PYV7,VJGZ,TQBR,RU0009046460,rub,1,45.44
309,Донской завод радиодеталей,BBG001CPLYK8,DZRD,TQBR,RU000A0JQW11,rub,1,2.56
310,ЭсЭфАй,BBG003LYCMB1,SFIN,TQBR,RU000A0JVW89,rub,1,59.99
311,Ростовоблгаз,BBG003M5Q5B5,RTGZ,TQBR,RU000A0JPG04,rub,1,3.91
312,Костромская сбытовая компания - привилегированные акции,BBG000DBV9Y9,KTSBP,TQBR,RU000A0D8PA6,rub,10000,2.87
313,Распадская,BBG004S68696,RASP,TQBR,RU000A0B90N8,rub,10,274.32
314,Волгоградэнергосбыт - привилегированные акции,BBG000FJ6S03,VGSBP,TQBR,RU000A0D8L57,rub,1000,5.89
315,Бурятзолото,BBG002B24058,BRZL,TQBR,RU0009288658,rub,1,10.53
316,ЮУНК,BBG002YFXL29,UNKL,TQBR,RU0004887991,rub,1,4.82
317,Банк Санкт-Петербург,BBG00Z197548,BSPBP,TQBR,RU000A0JP0U9,rub,100,100.88
318,Нижнекамскнефтехим,BBG000GQSRR5,NKNC,TQBR,RU0009100507,rub,10,190.27
319,ИНАРКТИКА,BBG000W325F7,AQUA,TQBR,RU000A0JQTS3,rub,1,74.91
322,ТНС энерго Воронеж,BBG000BX7DH0,VRSB,TQBR,RU000A0DPG67,rub,10,31.22
324,Globaltrans Investment PLC,BBG000VFX6Y4,GLTR,TQBR,US37949E2046,rub,1,109.03
325,РосДорБанк,BBG0078NQQ09,RDRB,TQBR,RU000A0JU6Q7,rub,10,3.49
326,Челябинский кузнечно-прессовый завод,BBG000VQM8Q7,CHKZ,TQBR,RU000A0JNST0,rub,1,12.69
327,Мордовская энергосбытовая компания,BBG000MFYK81,MRSB,TQBR,RU000A0D9AJ7,rub,10000,1.10
328,Ленэнерго - акции привилегированные,BBG000NLCCM3,LSNGP,TQBR,RU0009092134,rub,10,184.74
329,Норильский никель,BBG004731489,GMKN,TQBR,RU0007288411,rub,1,2621.30
331,Россети Кубань,BBG000CV6PB3,KUBE,TQBR,RU0009046767,rub,10,100.20
332,НЕФАЗ,BBG00226CJM0,NFAZ,TQBR,RU0009115604,rub,10,3.60
333,Саратовский нефтеперерабатывающий завод,BBG002B2J6C1,KRKN,TQBR,RU0009100408,rub,1,11.83
334,Сахалинэнерго,BBG00FX0RGJ4,SLEN,TQBR,RU0009280465,rub,100,6.14
335,Славнефть ЯНОС,BBG000CVM618,JNOS,TQBR,RU0009100895,rub,100,31.46
336,Русолово,BBG004Z2RGW8,ROLO,TQBR,RU000A0JU1B0,rub,1000,36.90
337,Мосэнерго,BBG004S687W8,MSNG,TQBR,RU0008958863,rub,1000,118.85
340,Липецкая энергосбытовая компания,BBG000DD0BC8,LPSB,TQBR,RU000A0D8MR7,rub,100,4.57
341,СК ЮЖУРАЛ-АСКО,BBG00HT224Q7,ACKO,TQBR,RU000A0JXS91,rub,100,1.92
342,ТНС энерго Ростов-на-Дону - привилегированные акции,BBG000GVFKL9,RTSBP,TQBR,RU000A0D8PC2,rub,1000,27.34
343,ТНС энерго Воронеж - привилегированные акции,BBG000JXYY95,VRSBP,TQBR,RU000A0DPG75,rub,10,31.22
345,Северсталь,BBG00475K6C3,CHMF,TQBR,RU0009046510,rub,1,1090.54
346,ТНС энерго Ростов-на-Дону,BBG000GQSRP7,RTSB,TQBR,RU000A0D8PB4,rub,1000,27.34
347,РН-Западная Сибирь,BBG000NLLWQ5,CHGZ,TQBR,RU0009082291,rub,10,3.62
348,МГТС,BBG000NT5184,MGTS,TQBR,RU0009036461,rub,1,156.33
349,Utair,BBG000BDMZ51,UTAR,TQBR,RU0007661385,rub,100,104.31
350,КуйбышевАзот - Акции привилегированные,BBG002B9T6Y1,KAZTP,TQBR,RU000A0B9BW0,rub,10,152.49
352,Роснефть,BBG004731354,ROSN,TQBR,RU000A0J2Q06,rub,1,6064.28
353,Магаданэнерго - привилегированные акции,BBG0018X75N2,MAGEP,TQBR,RU0006758893,rub,100,3.19
354,Красноярскэнергосбыт - привилегированные акции,BBG000VPC6Y5,KRSBP,TQBR,RU000A0HMLZ8,rub,100,12.70
355,Авангард Банк,BBG000BTX3H2,AVAN,TQBR,RU000A0DM7B3,rub,1,77.47
356,Уралкуз,BBG002Z691S1,URKZ,TQBR,RU000A0JPFY2,rub,1,15.17
357,Ставропольэнергосбыт - привилегированные акции,BBG000VDT2X4,STSBP,TQBR,RU000A0ET1Z7,rub,1000,2.31
358,Туймазинский завод автобетоновозов,BBG000R4K9Y2,TUZA,TQBR,RU000A0HL7A2,rub,10,1.53
359,ТГК-2 - акции привилегированные,BBG000Q7GJ60,TGKBP,TQBR,RU000A0JNGT5,rub,100000,15.62
360,ИНГРАД,BBG000RJXRQ4,INGR,TQBR,RU000A0DJ9B4,rub,1,71.93
361,АбрауДюрсо,BBG002W2FT69,ABRD,TQBR,RU000A0JS5T7,rub,10,25.13
362,Центральный Телеграф - акции привилегированные,BBG0027F0Y27,CNTLP,TQBR,RU0007665139,rub,100,3.10
363,ТНС энерго Нижний Новгород - привилегированные акции,BBG000J1Z285,NNSBP,TQBR,RU000A0ET5B9,rub,1,18.78
364,Томская распределительная компания - привилегированные акции,BBG000MDCP25,TORSP,TQBR,RU000A0ETZM8,rub,10000,3.10
365,Россети Урал,BBG000VKG4R5,MRKU,TQBR,RU000A0JPPT1,rub,10000,34.01
366,МРСК Юга,BBG000C7P5M7,MRKY,TQBR,RU000A0JPPG8,rub,10000,11.11
367,Саратовский НПЗ - акции привилегированные,BBG002B2J5X0,KRKNP,TQBR,RU0009100416,rub,1,11.83
